id;modulo;punto;capa;fase;tipo;estado_dev;estado_config;estado_global;notas
01.13;1. Acceso, sesión e identidad;Aceptar términos y condiciones;U A S;Núcleo MVP;Funcional;desarrollado;configurado;cerrado;accept-terms gate
01.14;1. Acceso, sesión e identidad;Detección multi-tenant por host/usuario;U A S;Núcleo MVP;Funcional;desarrollado;pendiente;desarrollado;"host→subdomain basico; dominio custom pendiente"
01.15;1. Acceso, sesión e identidad;Selector de empresa;U A S;Núcleo MVP;Funcional;diferido;diferido;diferido;Selector multi-empresa cuando user multi-tenant
01.16;1. Acceso, sesión e identidad;Políticas de privacidad;U A S;Núcleo MVP;Funcional;desarrollado;configurado;cerrado;GET legal/privacy
01.17;1. Acceso, sesión e identidad;Términos y condiciones (consulta);U A S;Núcleo MVP;Funcional;desarrollado;configurado;cerrado;GET legal/terms
01.QA;1. Acceso, sesión e identidad;Criterios de aceptación del módulo verificados (checklist §);U A S;Núcleo MVP;Calidad;parcial;n/a;en_curso;Smoke checklist humano pendiente
01.SEC;1. Acceso, sesión e identidad;Authz tenant + sin hardcode Emp_Id (premisa);U A S;Núcleo MVP;Calidad;desarrollado;n/a;cerrado;"tenant por codigo; sin Emp_Id hardcode"
01.UX;1. Acceso, sesión e identidad;UX moderna móvil-primero revisada (§45);U A S;Núcleo MVP;Calidad;desarrollado;n/a;desarrollado_y_configurado;tabs usuario/ID + terminos + reset
01.ADM;1. Acceso, sesión e identidad;Pantallas/admin de configuración del módulo listas (si aplica);U A S;Núcleo MVP;Calidad;desarrollado;configurado;desarrollado_y_configurado;loginMethods/allowDesktop en ComunidadView
01.DOC;1. Acceso, sesión e identidad;OpenAPI / notas de contrato del módulo;U A S;Núcleo MVP;Calidad;desarrollado;n/a;desarrollado_y_configurado;openapi auth + forgot/reset
02.01;2. Plataforma multi-empresa y seguridad;CRUD empresas;A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;CRUD tenant + PLATFORM
02.02;2. Plataforma multi-empresa y seguridad;Dashboard estándar;A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;dashboard metrics reales
02.03;2. Plataforma multi-empresa y seguridad;Dashboard Super Admin;A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;Suscriptores UI + seed PLATFORM/sooft
02.04;2. Plataforma multi-empresa y seguridad;Guards de acceso;U A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;requireAdmin + requirePlatformAdmin
02.05;2. Plataforma multi-empresa y seguridad;Branding YOMOB / SOOFIA;U A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado;uxShell connectia|modern|legacy (sin YOMOB/SOOFIA)
02.06;2. Plataforma multi-empresa y seguridad;Personalización visual del tenant (app móvil) — mejora de reingeniería;U A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;branding + themeMode light/dark/system
02.07;2. Plataforma multi-empresa y seguridad;Splash / bienvenida de marca al abrir la URL del tenant;U A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;splashTitle/Subtitle en login U
02.08;2. Plataforma multi-empresa y seguridad;Imagen de fondo login;U A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;loginBgUrl en login U
02.QA;2. Plataforma multi-empresa y seguridad;Criterios de aceptación del módulo verificados (checklist §);U A S;Núcleo MVP;Calidad;pendiente;n/a;pendiente;
02.SEC;2. Plataforma multi-empresa y seguridad;Authz tenant + sin hardcode Emp_Id (premisa);U A S;Núcleo MVP;Calidad;desarrollado;n/a;desarrollado;authz admin tenant-scoped
02.UX;2. Plataforma multi-empresa y seguridad;UX moderna móvil-primero revisada (§45);U A S;Núcleo MVP;Calidad;desarrollado;n/a;desarrollado_y_configurado;tema claro/oscuro U+A
02.ADM;2. Plataforma multi-empresa y seguridad;Pantallas/admin de configuración del módulo listas (si aplica);U A S;Núcleo MVP;Calidad;desarrollado;configurado;desarrollado_y_configurado;Admin plataforma + tenant
02.DOC;2. Plataforma multi-empresa y seguridad;OpenAPI / notas de contrato del módulo;U A S;Núcleo MVP;Calidad;desarrollado;n/a;desarrollado;rutas admin/tenants
03.01;3. Perfil y cuenta;Ver / editar perfil;U A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;Ola6: GET/PATCH /api/me + /perfil U
03.02;3. Perfil y cuenta;Foto de perfil;U A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;Ola6: POST/DELETE /api/me/avatar crop 512
03.03;3. Perfil y cuenta;Cambiar contraseña;U A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;Ola6: POST /api/me/password + email verify code
03.04;3. Perfil y cuenta;Datos adicionales de usuario;U A S;Núcleo MVP;Funcional;pendiente;pendiente;pendiente;Spec: ECRMOBILE-FUNCIONES-CONSOLIDADO.md §3
03.05;3. Perfil y cuenta;Deshabilitar / eliminar cuenta;U A S;Núcleo MVP;Funcional;pendiente;pendiente;pendiente;Spec: ECRMOBILE-FUNCIONES-CONSOLIDADO.md §3
03.06;3. Perfil y cuenta;Dispositivos registrados;U A S;Núcleo MVP;Funcional;pendiente;pendiente;pendiente;Spec: ECRMOBILE-FUNCIONES-CONSOLIDADO.md §3
03.07;3. Perfil y cuenta;Historial de actividad;U A S;Núcleo MVP;Funcional;pendiente;pendiente;pendiente;Spec: ECRMOBILE-FUNCIONES-CONSOLIDADO.md §3
03.08;3. Perfil y cuenta;Integración PeopleCare en perfil;S;Núcleo MVP;Funcional;pendiente;pendiente;pendiente;Spec: ECRMOBILE-FUNCIONES-CONSOLIDADO.md §3
03.QA;3. Perfil y cuenta;Criterios de aceptación del módulo verificados (checklist §);U A S;Núcleo MVP;Calidad;pendiente;n/a;pendiente;
03.SEC;3. Perfil y cuenta;Authz tenant + sin hardcode Emp_Id (premisa);U A S;Núcleo MVP;Calidad;pendiente;n/a;pendiente;
03.UX;3. Perfil y cuenta;UX moderna móvil-primero revisada (§45);U A S;Núcleo MVP;Calidad;pendiente;n/a;pendiente;
03.ADM;3. Perfil y cuenta;Pantallas/admin de configuración del módulo listas (si aplica);U A S;Núcleo MVP;Calidad;pendiente;n/a;pendiente;
03.DOC;3. Perfil y cuenta;OpenAPI / notas de contrato del módulo;U A S;Núcleo MVP;Calidad;pendiente;n/a;pendiente;
04.01;4. Contenido corporativo (muro, publicaciones, stories);Feed / muro de publicaciones;U A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;Ola3: GET /posts/feed + MuroView
04.02;4. Contenido corporativo (muro, publicaciones, stories);Ver publicación;U A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;Ola3: GET /posts/:id (detalle en feed)
04.03;4. Contenido corporativo (muro, publicaciones, stories);Búsqueda de publicaciones;U A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;Ola3: q en feed
04.04;4. Contenido corporativo (muro, publicaciones, stories);Publicación por menú dinámico;U A S;Núcleo MVP;Funcional;diferido;n/a;diferido;Post por menú dinámico: post-Ola3
04.05;4. Contenido corporativo (muro, publicaciones, stories);Tipos de publicación;U A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;tipos: noticia/aviso/beneficio/evento/general
04.06;4. Contenido corporativo (muro, publicaciones, stories);CRUD publicaciones (admin);A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;admin CRUD /publicaciones
04.07;4. Contenido corporativo (muro, publicaciones, stories);Publicar / mejorar contenido con IA;U A S;Núcleo MVP;Funcional;diferido;n/a;diferido;IA publicar: Ola6
04.08;4. Contenido corporativo (muro, publicaciones, stories);Importación masiva de publicaciones;U A S;Núcleo MVP;Funcional;diferido;n/a;diferido;Import masiva post-MVP
04.09;4. Contenido corporativo (muro, publicaciones, stories);Layouts de card;U A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;Ola3: vertical/horizontal/banner + PostCard
04.10;4. Contenido corporativo (muro, publicaciones, stories);Comentarios en publicaciones;U A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;Hecho con §10 Ola9
04.11;4. Contenido corporativo (muro, publicaciones, stories);Votación / reacciones;U A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;like/love/clap toggle
04.12;4. Contenido corporativo (muro, publicaciones, stories);Stories;U A S;Núcleo MVP;Funcional;diferido;n/a;diferido;Stories post-MVP
04.13;4. Contenido corporativo (muro, publicaciones, stories);Gestión del conocimiento;U A S;Núcleo MVP;Funcional;diferido;n/a;diferido;Gestión conocimiento post-MVP
04.14;4. Contenido corporativo (muro, publicaciones, stories);Pre-home;U A S;Núcleo MVP;Funcional;diferido;n/a;diferido;Pre-home post-MVP
04.15;4. Contenido corporativo (muro, publicaciones, stories);Deep links / filtros externos;U A S;Núcleo MVP;Funcional;diferido;n/a;diferido;Deep links post-MVP
04.16;4. Contenido corporativo (muro, publicaciones, stories);Botonera inferior dinámica;U A S;Núcleo MVP;Funcional;diferido;n/a;diferido;Botonera inferior: con menú U
04.17;4. Contenido corporativo (muro, publicaciones, stories);Calendario de publicaciones;U A S;Núcleo MVP;Funcional;diferido;n/a;diferido;Calendario pubs post-MVP
04.18;4. Contenido corporativo (muro, publicaciones, stories);Publicación de colaboradores (UGC) + moderación admin;U A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;Composer U + cola admin pending_review
04.19;4. Contenido corporativo (muro, publicaciones, stories);Análisis IA previo de UGC (sugerencia al admin);A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;Riesgo + acción sugerida; humano confirma
04.20;4. Contenido corporativo (muro, publicaciones, stories);Rechazo UGC con motivo + mail/push/in-app; filtro Activas; refresh admin;A S U;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;notifyUgcRejected + PublicacionesView
04.QA;4. Contenido corporativo (muro, publicaciones, stories);Criterios de aceptación del módulo verificados (checklist §);U A S;Núcleo MVP;Calidad;desarrollado;n/a;cerrado;Ola3 smoke feed/detalle/reacciones/layouts
04.SEC;4. Contenido corporativo (muro, publicaciones, stories);Authz tenant + sin hardcode Emp_Id (premisa);U A S;Núcleo MVP;Calidad;desarrollado;n/a;desarrollado_y_configurado;tenantId desde JWT
04.UX;4. Contenido corporativo (muro, publicaciones, stories);UX moderna móvil-primero revisada (§45);U A S;Núcleo MVP;Calidad;desarrollado;n/a;desarrollado_y_configurado;Feed Instagram-like + detalle + filtros tipo
04.ADM;4. Contenido corporativo (muro, publicaciones, stories);Pantallas/admin de configuración del módulo listas (si aplica);U A S;Núcleo MVP;Calidad;desarrollado;configurado;desarrollado_y_configurado;PublicacionesView
04.DOC;4. Contenido corporativo (muro, publicaciones, stories);OpenAPI / notas de contrato del módulo;U A S;Núcleo MVP;Calidad;parcial;n/a;en_curso;"Rutas en código; OpenAPI luego"
05.01;5. Saludos automáticos;Saludos automáticos;U A S;Núcleo MVP;Funcional;pendiente;pendiente;pendiente;Spec: ECRMOBILE-FUNCIONES-CONSOLIDADO.md §5
05.02;5. Saludos automáticos;Configuración de saludos;A S;Núcleo MVP;Funcional;pendiente;pendiente;pendiente;Spec: ECRMOBILE-FUNCIONES-CONSOLIDADO.md §5
05.QA;5. Saludos automáticos;Criterios de aceptación del módulo verificados (checklist §);U A S;Núcleo MVP;Calidad;pendiente;n/a;pendiente;
05.SEC;5. Saludos automáticos;Authz tenant + sin hardcode Emp_Id (premisa);U A S;Núcleo MVP;Calidad;pendiente;n/a;pendiente;
05.UX;5. Saludos automáticos;UX moderna móvil-primero revisada (§45);U A S;Núcleo MVP;Calidad;pendiente;n/a;pendiente;
05.ADM;5. Saludos automáticos;Pantallas/admin de configuración del módulo listas (si aplica);U A S;Núcleo MVP;Calidad;pendiente;n/a;pendiente;
05.DOC;5. Saludos automáticos;OpenAPI / notas de contrato del módulo;U A S;Núcleo MVP;Calidad;pendiente;n/a;pendiente;
06.01;6. Eventos y calendario;Calendario corporativo;U A S;Núcleo MVP;Funcional;pendiente;pendiente;pendiente;Spec: ECRMOBILE-FUNCIONES-CONSOLIDADO.md §6
06.02;6. Eventos y calendario;Conectar calendario personal (Outlook / Google) — verlo en la app;U A S;Núcleo MVP;Funcional;pendiente;pendiente;pendiente;Spec: ECRMOBILE-FUNCIONES-CONSOLIDADO.md §6
06.03;6. Eventos y calendario;Política tenant — habilitar Outlook / Google;U A S;Núcleo MVP;Funcional;pendiente;pendiente;pendiente;Spec: ECRMOBILE-FUNCIONES-CONSOLIDADO.md §6
06.04;6. Eventos y calendario;Vista unificada de agenda;U A S;Núcleo MVP;Funcional;pendiente;pendiente;pendiente;Spec: ECRMOBILE-FUNCIONES-CONSOLIDADO.md §6
06.05;6. Eventos y calendario;Confirmar / consultar asistencia;U A S;Núcleo MVP;Funcional;pendiente;pendiente;pendiente;Spec: ECRMOBILE-FUNCIONES-CONSOLIDADO.md §6
06.06;6. Eventos y calendario;Eliminar asistencia;U A S;Núcleo MVP;Funcional;pendiente;pendiente;pendiente;Spec: ECRMOBILE-FUNCIONES-CONSOLIDADO.md §6
06.07;6. Eventos y calendario;Reporte de confirmaciones;A S;Núcleo MVP;Funcional;pendiente;pendiente;pendiente;Spec: ECRMOBILE-FUNCIONES-CONSOLIDADO.md §6
06.QA;6. Eventos y calendario;Criterios de aceptación del módulo verificados (checklist §);U A S;Núcleo MVP;Calidad;pendiente;n/a;pendiente;
06.SEC;6. Eventos y calendario;Authz tenant + sin hardcode Emp_Id (premisa);U A S;Núcleo MVP;Calidad;pendiente;n/a;pendiente;
06.UX;6. Eventos y calendario;UX moderna móvil-primero revisada (§45);U A S;Núcleo MVP;Calidad;pendiente;n/a;pendiente;
06.ADM;6. Eventos y calendario;Pantallas/admin de configuración del módulo listas (si aplica);U A S;Núcleo MVP;Calidad;pendiente;n/a;pendiente;
06.DOC;6. Eventos y calendario;OpenAPI / notas de contrato del módulo;U A S;Núcleo MVP;Calidad;pendiente;n/a;pendiente;
07.01;7. Notificaciones push;Centro de notificaciones;U A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;U /avisos + A /notificaciones
07.02;7. Notificaciones push;Registro de token push;U A S;Núcleo MVP;Funcional;hecho;hecho;parcial;Web Push VAPID (no FCM nativo)
07.03;7. Notificaciones push;Envío de notificaciones (admin);A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;Campañas + IA + programar día/hora + audiencia
07.04;7. Notificaciones push;Importación / exportación push;U A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;CSV opcional; flujo principal IA
07.05;7. Notificaciones push;Proxy / envío push backend;U A S;Núcleo MVP;Funcional;hecho;—;hecho;pushService + scheduler
07.06;7. Notificaciones push;Permisos y recepción in-app;U A S;Núcleo MVP;Funcional;hecho;—;hecho;SW + banner/modal
07.QA;7. Notificaciones push;Criterios de aceptación del módulo verificados (checklist §);U A S;Núcleo MVP;Calidad;pendiente;n/a;pendiente;Postdev
07.SEC;7. Notificaciones push;Authz tenant + sin hardcode Emp_Id (premisa);U A S;Núcleo MVP;Calidad;desarrollado;n/a;desarrollado;Tenant + admin.notificaciones
07.UX;7. Notificaciones push;UX moderna móvil-primero revisada (§45);U A S;Núcleo MVP;Calidad;desarrollado;n/a;desarrollado;U avisos + A modal 20/80
07.ADM;7. Notificaciones push;Pantallas/admin de configuración del módulo listas (si aplica);U A S;Núcleo MVP;Calidad;desarrollado;configurado;desarrollado_y_configurado;/notificaciones
07.DOC;7. Notificaciones push;OpenAPI / notas de contrato del módulo;U A S;Núcleo MVP;Calidad;pendiente;n/a;pendiente;Postdev
08.01;8. Chat y comunicación;Chat interno;U A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;U /chat 1:1 + adjuntos + push
08.02;8. Chat y comunicación;Chat por voz;U A S;Núcleo MVP;Funcional;diferido;n/a;diferido;Fase 2 WebRTC
08.03;8. Chat y comunicación;Chat por video;U A S;Núcleo MVP;Funcional;diferido;n/a;diferido;Fase 2 WebRTC
08.04;8. Chat y comunicación;Chat grupal;U A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;Crear grupo + historial
08.05;8. Chat y comunicación;Moderación / retención de chat;U A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;A /chat-moderacion + bloqueo
08.06;8. Chat y comunicación;Menciones, reacciones, mensajes anclados;U A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;@usuario + reacciones + pin
08.07;8. Chat y comunicación;Buscador + resúmenes/transcripción IA;U A S;Núcleo MVP;Funcional;parcial;parcial;parcial;Buscador OK; IA diferida
08.QA;8. Chat y comunicación;Criterios de aceptación del módulo verificados (checklist §);U A S;Núcleo MVP;Calidad;pendiente;n/a;pendiente;Postdev
08.SEC;8. Chat y comunicación;Authz tenant + sin hardcode Emp_Id (premisa);U A S;Núcleo MVP;Calidad;desarrollado;n/a;desarrollado;tenantId + participante
08.UX;8. Chat y comunicación;UX moderna móvil-primero revisada (§45);U A S;Núcleo MVP;Calidad;desarrollado;n/a;desarrollado;Lista + hilo
08.ADM;8. Chat y comunicación;Pantallas/admin de configuración del módulo listas (si aplica);U A S;Núcleo MVP;Calidad;desarrollado;configurado;desarrollado_y_configurado;/chat-moderacion
08.DOC;8. Chat y comunicación;OpenAPI / notas de contrato del módulo;U A S;Núcleo MVP;Calidad;pendiente;n/a;pendiente;Postdev
09.01;9. Consultas / tickets;Mis consultas;U A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;Ola4: listado U /requests
09.02;9. Consultas / tickets;Crear consulta;U A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;Ola4: POST /requests
09.03;9. Consultas / tickets;Hilo de mensajes;U A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;Ola4+: hilo + adjuntos URL + notas internas
09.04;9. Consultas / tickets;Bandeja CRM / admin;A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;Ola4+: bandeja + estados tenant + campos en detalle + export
09.05;9. Consultas / tickets;Tipos, áreas y campos de consulta;U A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;Ola4+: campos dinámicos por tipo + estados config admin
09.06;9. Consultas / tickets;Novedades GeoPop;U A S;Núcleo MVP;Funcional;diferido;n/a;diferido;GeoPop post-MVP
09.07;9. Consultas / tickets;Jobs SAP/ECR sobre consultas;S;Núcleo MVP;Funcional;diferido;n/a;diferido;SAP/ECR post-MVP
09.08;9. Consultas / tickets;Notificaciones de consulta;U A S;Núcleo MVP;Funcional;diferido;n/a;diferido;Push/email: Ola6
09.09;9. Consultas / tickets;Mis tickets Jira — soporte pendiente en la app;U A S;Núcleo MVP;Funcional;diferido;n/a;diferido;Jira adapter post-MVP
09.10;9. Consultas / tickets;Configurar integración Jira (admin tenant) + vínculo de usuario;A S;Núcleo MVP;Funcional;diferido;n/a;diferido;Jira config post-MVP
09.11;9. Consultas / tickets;Crear issue en Jira desde Connectia (opcional);U A S;Núcleo MVP;Funcional;diferido;n/a;diferido;Jira create post-MVP
09.QA;9. Consultas / tickets;Criterios de aceptación del módulo verificados (checklist §);U A S;Núcleo MVP;Calidad;desarrollado;n/a;cerrado;Ola4 smoke list/create/hilo/bandeja
09.SEC;9. Consultas / tickets;Authz tenant + sin hardcode Emp_Id (premisa);U A S;Núcleo MVP;Calidad;desarrollado;n/a;desarrollado_y_configurado;tenantId JWT + requester scope
09.UX;9. Consultas / tickets;UX moderna móvil-primero revisada (§45);U A S;Núcleo MVP;Calidad;desarrollado;n/a;desarrollado_y_configurado;Mis solicitudes U móvil
09.ADM;9. Consultas / tickets;Pantallas/admin de configuración del módulo listas (si aplica);U A S;Núcleo MVP;Calidad;desarrollado;configurado;desarrollado_y_configurado;Bandeja + Tipos
09.DOC;9. Consultas / tickets;OpenAPI / notas de contrato del módulo;U A S;Núcleo MVP;Calidad;parcial;n/a;en_curso;Rutas en código
10.01;10. Comentarios (moderación);Moderación de comentarios;U A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;Ola9: bandeja A + comentarios U
10.02;10. Comentarios (moderación);Análisis automático con IA + sugerencias al administrador;A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;Ola9: commentModerationAi + accept-suggestion
10.03;10. Comentarios (moderación);Configuración de moderación IA (admin tenant);A S;Núcleo MVP;Funcional;desarrollado;configurado;desarrollado_y_configurado;Ola9: tenant.commentsModeration
10.QA;10. Comentarios (moderación);Criterios de aceptación del módulo verificados (checklist §);U A S;Núcleo MVP;Calidad;pendiente;n/a;pendiente;Postdev
10.SEC;10. Comentarios (moderación);Authz tenant + sin hardcode Emp_Id (premisa);U A S;Núcleo MVP;Calidad;desarrollado;n/a;desarrollado_y_configurado;cap admin.comentarios
10.UX;10. Comentarios (moderación);UX moderna móvil-primero revisada (§45);U A S;Núcleo MVP;Calidad;desarrollado;n/a;desarrollado_y_configurado;U detalle + A bandeja
10.ADM;10. Comentarios (moderación);Pantallas/admin de configuración del módulo listas (si aplica);U A S;Núcleo MVP;Calidad;desarrollado;configurado;desarrollado_y_configurado;/moderacion-comentarios
10.DOC;10. Comentarios (moderación);OpenAPI / notas de contrato del módulo;U A S;Núcleo MVP;Calidad;pendiente;n/a;pendiente;Postdev
